q_dirs,traj,tr,delay,rep,paired_id,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest
4,circle,0.35,34,7,q4_circle_tr0.35_d34_rep7,1.443443630232278,1.7204232743409602,-0.27697964410868225
4,square,0.25,12,0,q4_square_tr0.25_d12_rep0,0.366671905132141,0.8862645109193642,-0.5195926057872232
4,square,0.25,12,1,q4_square_tr0.25_d12_rep1,0.3518341144114632,0.6188888201754923,-0.2670547057640291
4,square,0.25,12,2,q4_square_tr0.25_d12_rep2,0.3640849032920376,0.6503856577550722,-0.2863007544630346
4,square,0.25,12,3,q4_square_tr0.25_d12_rep3,0.34461190195280733,0.9086137444187137,-0.5640018424659063
4,square,0.25,12,4,q4_square_tr0.25_d12_rep4,0.35052659780503564,0.6157280324722869,-0.26520143466725127
4,square,0.25,12,5,q4_square_tr0.25_d12_rep5,0.332938928581246,0.8599076612659838,-0.5269687326847379
4,square,0.25,12,6,q4_square_tr0.25_d12_rep6,0.35317243151769706,0.8296357643065139,-0.4764633327888168
4,square,0.25,12,7,q4_square_tr0.25_d12_rep7,0.3690302443310787,0.9298346311726382,-0.5608043868415595
4,square,0.25,34,0,q4_square_tr0.25_d34_rep0,1.5374849515648576,1.7409903291224618,-0.20350537755760412
4,square,0.25,34,1,q4_square_tr0.25_d34_rep1,1.5195711228202697,1.777146602036617,-0.25757547921634716
4,square,0.25,34,2,q4_square_tr0.25_d34_rep2,1.5079318190942919,1.6992310178727241,-0.19129919877843227
4,square,0.25,34,3,q4_square_tr0.25_d34_rep3,1.4901265691501833,1.7175110340627855,-0.22738446491260222
4,square,0.25,34,4,q4_square_tr0.25_d34_rep4,1.516780025701731,1.6225909323155143,-0.10581090661378334
4,square,0.25,34,5,q4_square_tr0.25_d34_rep5,1.5254676118409296,1.6605049023504097,-0.1350372905094801
4,square,0.25,34,6,q4_square_tr0.25_d34_rep6,1.443946060447551,1.6520633064911778,-0.2081172460436269
4,square,0.25,34,7,q4_square_tr0.25_d34_rep7,1.4105593848112539,1.6800262787518008,-0.2694668939405469
4,square,0.35,12,0,q4_square_tr0.35_d12_rep0,0.1886081848969642,0.887419408604643,-0.6988112237076788
4,square,0.35,12,1,q4_square_tr0.35_d12_rep1,0.18849579987410559,0.8668433525778104,-0.6783475527037048
4,square,0.35,12,2,q4_square_tr0.35_d12_rep2,0.1851073129374979,0.9008513668291481,-0.7157440538916502
4,square,0.35,12,3,q4_square_tr0.35_d12_rep3,0.17193562738030754,0.8600211866717552,-0.6880855592914477
4,square,0.35,12,4,q4_square_tr0.35_d12_rep4,0.17993473319022524,0.8838919287670117,-0.7039571955767865
4,square,0.35,12,5,q4_square_tr0.35_d12_rep5,0.18456539083714382,0.8860832535744178,-0.7015178627372739
4,square,0.35,12,6,q4_square_tr0.35_d12_rep6,0.17664945805788984,0.8828627192756916,-0.7062132612178018
4,square,0.35,12,7,q4_square_tr0.35_d12_rep7,0.19173141423472673,0.8813099952848842,-0.6895785810501575
4,square,0.35,34,0,q4_square_tr0.35_d34_rep0,1.3534578547473457,1.7784632325073555,-0.4250053777600098
