traj,tr,delay,mc,rmse_honest,rmse_t3,gap_h_minus_t3,osc_honest,osc_t3,osc_change_pct,edot_honest,edot_t3,edot_change_pct,tail_q95_honest,tail_rate_honest,tail_rate_t3,tail_delta,tail_mse_share_honest,tail_mse_share_t3,energy_relief,abs_relief,vel_oppose,delta_perp_abs,delta_norm,raw_cos_vel,mechanism_class
lemniscate,0.2,8,50,0.45812428921514337,0.9422875038124523,-0.48416321459730893,0.45725949956227846,0.9380458620305733,105.1451884384002,0.05356874658890375,0.47242235601916716,781.8992156691713,0.7466935342760754,0.05,0.5135978835978836,0.4635978835978836,4.049965322567923,1.8627503168390727,0.986811654836547,0.9282376417380379,-0.3652085203915806,0.043372188081190685,0.04688042282656349,-0.9891888133084217,harm_cost_dominance
lemniscate,0.2,18,50,0.8448040907020895,0.669909205020092,0.17489488568199751,0.8428408278104458,0.6684547616694683,-20.690272752186832,0.062372894675972415,0.07125346240131572,14.237863692771569,1.277037679291983,0.05,0.02895238095238095,-0.02104761904761905,2.726511049096573,4.791439719273187,0.9943174124146711,0.9800124852607804,-0.32233722761200106,0.07887314281527019,0.08650478187063966,-0.9927339944946525,benefit
lemniscate,0.2,26,50,1.2308850112462155,0.9820764161121985,0.24880859513401699,1.2303065863302793,0.9795276214174536,-20.383453010735934,0.16063263101156136,0.09464489824723941,-41.07990533950836,1.9065139144008707,0.05,0.005306878306878307,-0.044693121693121694,3.271280847245986,4.965238422915272,0.9903875484040099,0.9782051938989604,-0.39133576930321257,0.07411352132062837,0.07968200246965043,-0.9945138246725317,benefit
lemniscate,0.2,34,50,1.6055680025473154,1.388762392239861,0.21680561030745427,1.6041237833288053,1.3844222651289153,-13.696045185729893,0.1745448868777294,0.26538615731641557,52.04464711807974,2.5051520572334653,0.05,0.030973544973544972,-0.01902645502645503,2.8063572071060716,3.7071439112924756,0.9231791585443926,0.874322999585085,-0.08014738247834392,0.06678293813244325,0.0813781610636201,-0.9907024904210544,benefit
lemniscate,0.2,44,50,2.091712519559934,1.799942934615301,0.2917695849446329,2.086543155308915,1.7965238446886826,-13.899511729828351,0.3437461086629572,0.470301441134961,36.81651349127651,3.3465461597027613,0.05,0.01562962962962963,-0.03437037037037037,2.957444922513261,3.8218709554751435,0.6533223718356517,0.5236569300114597,0.14178692505720694,0.0642433130563415,0.0868646315655967,-0.9906270589005574,benefit
lemniscate,0.2,56,50,2.600243844231073,2.2922408898026476,0.3080029544284253,2.597997977309817,2.2893704799263794,-11.879435630003735,0.4873627030344078,0.4249734573678072,-12.801399302413987,4.3384181925813365,0.05,0.005222222222222222,-0.04477777777777778,3.0335949548820937,3.7393140733641643,0.8121404836882218,0.7055973138638908,0.1814760463967547,0.06442535830497609,0.08619967386519349,-0.9930435789942703,benefit
lemniscate,0.2,68,50,3.1351650614791917,2.8165268749164967,0.31863818656269505,3.1346291109528432,2.807399971351105,-10.439166102881144,0.5538148960299025,0.5049532713560461,-8.822735723441072,5.264362762500809,0.05,0.00483068783068783,-0.04516931216931217,3.068033102299169,3.6515391921369433,0.7888394257758635,0.5944471812066379,0.22813511252249313,0.061508030530483045,0.08468181402915649,-0.9925451617656627,benefit
lemniscate,0.3,0,50,0.22310855903873122,0.35322268669294155,-0.13011412765421032,0.22198353416094116,0.3453875108824448,55.59150014769929,0.028068069268593017,0.042604591877636204,51.790247734606524,0.420105502484666,0.05,0.27205291005291005,0.22205291005291006,4.57008323310018,2.594831902052787,-0.18831142170436121,-0.09555970115106856,-0.555413504147855,0.22397875649604074,0.2422169332393434,-0.9666806545603207,harm_with_local_reversal
lemniscate,0.3,8,50,0.47253013037047426,1.130662109960236,-0.6581319795897618,0.47168569024455076,1.127502484201456,139.03682208707653,0.06939444099583986,0.5847142896762768,742.5952875734008,0.7795737355921433,0.05,0.7037619047619048,0.6537619047619048,4.634744637979936,1.3902063763756156,0.7890851449906059,0.5486167026057157,-0.49260393216789256,0.054677872247837274,0.061042301520543615,-0.9847085311582532,harm_cost_dominance
lemniscate,0.3,18,50,0.8397112775814787,1.0953628453959459,-0.2556515678144672,0.8378618385372111,1.066758651549045,27.3191596136163,0.06336069445939564,0.5139488884162678,711.1478145785125,1.26304659237703,0.05,0.4008677248677249,0.3508677248677249,2.7048975596913367,1.8188361001246887,0.881179857259522,0.7888560870847818,-0.32504194987870483,0.06773309599213649,0.07952456603217317,-0.984115052320402,harm_cost_dominance
lemniscate,0.3,26,50,1.2236286862724755,0.8805765388764998,0.34305214739597567,1.2229608587347156,0.8786556220448897,-28.153414251194036,0.15729693667777644,0.10400551347451475,-33.87950479422917,1.9032164204431852,0.05,0.0032433862433862435,-0.04675661375661376,3.25401356720263,5.348310859053567,0.6275522050877652,0.56773156062332,-0.46897983655948217,0.17155930128315827,0.19483248950549467,-0.972186855015329,benefit
